area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft,sqft_per_bhk
Super built-up  Area,19-Dec,electronic city phase ii,2,1056.0,2.0,1.0,39.07,3699.810606060606,528.0
Plot  Area,Ready To Move,chikka tirupathi,4,2600.0,5.0,3.0,120.0,4615.384615384615,650.0
Built-up  Area,Ready To Move,uttarahalli,3,1440.0,2.0,3.0,62.0,4305.555555555556,480.0
Super built-up  Area,Ready To Move,lingadheeranahalli,3,1521.0,3.0,1.0,95.0,6245.890861275477,507.0
Super built-up  Area,Ready To Move,kothanur,2,1200.0,2.0,1.0,51.0,4250.0,600.0
Super built-up  Area,Ready To Move,whitefield,2,1170.0,2.0,1.0,38.0,3247.863247863248,585.0
Super built-up  Area,18-May,old airport road,4,2732.0,4.0,0.0,204.0,7467.0571010248905,683.0
Super built-up  Area,Ready To Move,marathahalli,3,1310.0,3.0,1.0,63.25,4828.244274809161,436.6666666666667
Super built-up  Area,18-Feb,whitefield,3,1800.0,2.0,2.0,70.0,3888.8888888888887,600.0
Plot  Area,Ready To Move,whitefield,4,2785.0,5.0,3.0,295.0,10592.45960502693,696.25
Super built-up  Area,Ready To Move,7th phase jp nagar,2,1000.0,2.0,1.0,38.0,3800.0,500.0
Built-up  Area,Ready To Move,gottigere,2,1100.0,2.0,2.0,40.0,3636.3636363636365,550.0
Plot  Area,Ready To Move,sarjapur,3,2250.0,3.0,2.0,148.0,6577.777777777777,750.0
Super built-up  Area,Ready To Move,mysore road,2,1175.0,2.0,2.0,73.5,6255.31914893617,587.5
Super built-up  Area,Ready To Move,bisuvanahalli,3,1180.0,3.0,2.0,48.0,4067.7966101694915,393.3333333333333
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3,1540.0,3.0,3.0,60.0,3896.103896103896,513.3333333333334
Built-up  Area,Ready To Move,kengeri,1,600.0,1.0,1.0,15.0,2500.0,600.0
Super built-up  Area,19-Dec,binny pete,3,1755.0,3.0,1.0,122.0,6951.5669515669515,585.0
Plot  Area,Ready To Move,thanisandra,4,2800.0,5.0,2.0,380.0,13571.42857142857,700.0
Super built-up  Area,Ready To Move,bellandur,3,1767.0,3.0,1.0,103.0,5829.088851160159,589.0
Super built-up  Area,18-Nov,thanisandra,1,510.0,1.0,0.0,25.25,4950.980392156863,510.0
Super built-up  Area,Ready To Move,electronic city,2,660.0,1.0,1.0,23.1,3500.0,330.0
Built-up  Area,20-Dec,whitefield,3,1610.0,3.0,2.0,81.0,5031.055900621118,536.6666666666666
Super built-up  Area,17-Oct,ramagondanahalli,2,1151.0,2.0,2.0,48.77,4237.185056472633,575.5
Super built-up  Area,Ready To Move,electronic city,3,1025.0,2.0,1.0,47.0,4585.365853658536,341.6666666666667
Super built-up  Area,19-Dec,yelahanka,4,2475.0,4.0,0.0,186.0,7515.151515151515,618.75
Super built-up  Area,Ready To Move,bisuvanahalli,3,1075.0,2.0,1.0,35.0,3255.813953488372,358.3333333333333
Super built-up  Area,Ready To Move,hebbal,3,1760.0,2.0,2.0,123.0,6988.636363636364,586.6666666666666
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3,1693.0,3.0,3.0,57.39,3389.84051978736,564.3333333333334
Built-up  Area,Ready To Move,kasturi nagar,3,1925.0,3.0,0.0,125.0,6493.506493506494,641.6666666666666
Super built-up  Area,21-Dec,kanakpura road,2,700.0,2.0,1.0,36.0,5142.857142857143,350.0
Super built-up  Area,Ready To Move,electronics city phase 1,2,1070.0,2.0,1.0,45.5,4252.336448598131,535.0
Super built-up  Area,Ready To Move,kundalahalli,3,1724.0,3.0,2.0,125.0,7250.580046403712,574.6666666666666
Super built-up  Area,Ready To Move,chikkalasandra,3,1290.0,2.0,2.0,56.12,4350.387596899225,430.0
Built-up  Area,Ready To Move,uttarahalli,2,1143.0,2.0,2.0,45.0,3937.0078740157483,571.5
Built-up  Area,Ready To Move,murugeshpalya,2,1296.0,2.0,0.0,81.0,6250.0,648.0
Super built-up  Area,19-Dec,sarjapur  road,3,1254.0,3.0,2.0,38.0,3030.3030303030305,418.0
Plot  Area,Ready To Move,yelahanka,1,660.0,1.0,0.0,48.0,7272.727272727273,660.0
Super built-up  Area,19-Sep,kanakpura road,2,1330.74,2.0,2.0,91.79,6897.665960292769,665.37
Super built-up  Area,Ready To Move,doddathoguru,2,970.0,2.0,0.0,33.0,3402.061855670103,485.0
Super built-up  Area,20-Sep,whitefield,2,1459.0,2.0,1.0,94.82,6498.971898560658,729.5
Plot  Area,Ready To Move,kr puram,2,800.0,1.0,1.0,130.0,16250.0,400.0
Super built-up  Area,18-Mar,bhoganhalli,3,1670.0,3.0,1.0,99.0,5928.143712574851,556.6666666666666
Built-up  Area,Ready To Move,whitefield,3,2010.0,3.0,2.0,91.0,4527.363184079602,670.0
Super built-up  Area,Ready To Move,lakshminarayana pura,2,1185.0,2.0,2.0,75.0,6329.113924050633,592.5
Super built-up  Area,Ready To Move,yelahanka,3,1600.0,2.0,3.0,75.0,4687.5,533.3333333333334
Super built-up  Area,Ready To Move,begur road,2,1200.0,2.0,2.0,44.0,3666.6666666666665,600.0
Built-up  Area,20-Feb,devanahalli,4,3210.0,4.0,0.0,192.0,5981.308411214954,802.5
Built-up  Area,Ready To Move,varthur,2,1160.0,2.0,2.0,44.0,3793.103448275862,580.0
Built-up  Area,Ready To Move,bommanahalli,8,3000.0,8.0,0.0,140.0,4666.666666666667,375.0
Super built-up  Area,Ready To Move,doddathoguru,2,1100.0,2.0,1.0,62.0,5636.363636363636,550.0
Super built-up  Area,18-Apr,gunjur,2,1140.0,2.0,3.0,43.0,3771.9298245614036,570.0
Super built-up  Area,Ready To Move,marathahalli,2,1220.0,2.0,1.0,57.0,4672.131147540984,610.0
Super built-up  Area,Ready To Move,kanakpura road,2,1005.0,2.0,1.0,36.68,3649.7512437810947,502.5
Super built-up  Area,20-Aug,begur road,2,1358.0,2.0,1.0,80.58,5933.726067746687,679.0
Super built-up  Area,Ready To Move,hegde nagar,3,1569.0,3.0,1.0,101.0,6437.221159974506,523.0
Super built-up  Area,18-Apr,haralur road,2,1240.0,2.0,1.0,70.0,5645.1612903225805,620.0
Super built-up  Area,Ready To Move,hennur road,3,2089.0,3.0,2.0,140.0,6701.771182383915,696.3333333333334
Super built-up  Area,Ready To Move,kothannur,2,1206.0,2.0,1.0,48.23,3999.1708126036483,603.0
Super built-up  Area,Ready To Move,kalena agrahara,2,1150.0,2.0,3.0,40.0,3478.2608695652175,575.0
Built-up  Area,Ready To Move,isro layout,6,4400.0,6.0,3.0,250.0,5681.818181818182,733.3333333333334
Built-up  Area,18-Oct,hennur road,4,3203.5,4.0,0.0,224.5,7007.960043702201,800.875
Super built-up  Area,19-Mar,yelahanka,2,1326.0,2.0,2.0,78.0,5882.35294117647,663.0
Super built-up  Area,Ready To Move,garudachar palya,3,1325.0,2.0,2.0,60.8,4588.679245283019,441.6666666666667
Super built-up  Area,Ready To Move,epip zone,3,1499.0,5.0,2.0,102.0,6804.536357571715,499.6666666666667
Built-up  Area,Ready To Move,hegde nagar,6,3000.0,7.0,2.0,210.0,7000.0,500.0
Super built-up  Area,Ready To Move,kanakpura road,3,1665.0,3.0,2.0,88.0,5285.285285285286,555.0
Super built-up  Area,17-Sep,dasanapura,2,708.0,2.0,2.0,37.0,5225.988700564972,354.0
Super built-up  Area,Ready To Move,kasavanhalli,2,1060.0,2.0,2.0,58.06,5477.358490566037,530.0
Built-up  Area,Ready To Move,sanjay nagar,2,1000.0,2.0,2.0,70.0,7000.0,500.0
Super built-up  Area,18-Dec,electronic city,2,1000.0,2.0,1.0,28.88,2888.0,500.0
Plot  Area,Ready To Move,isro layout,4,1200.0,4.0,2.0,155.0,12916.666666666666,300.0
Super built-up  Area,17-Aug,thanisandra,2,1296.0,2.0,3.0,80.0,6172.83950617284,648.0
Super built-up  Area,Ready To Move,domlur,3,1540.0,3.0,2.0,90.0,5844.1558441558445,513.3333333333334
Plot  Area,Ready To Move,kengeri,4,2894.0,4.0,1.0,245.0,8465.791292328957,723.5
Super built-up  Area,Ready To Move,sarjapura - attibele road,3,1330.0,2.0,1.0,48.0,3609.0225563909776,443.3333333333333
Super built-up  Area,Ready To Move,yeshwanthpur,3,2502.0,3.0,3.0,138.0,5515.587529976019,834.0
Built-up  Area,Ready To Move,chandapura,2,650.0,1.0,1.0,17.0,2615.3846153846152,325.0
Plot  Area,Ready To Move,kothanur,3,2400.0,2.0,1.0,150.0,6250.0,800.0
Built-up  Area,Ready To Move,nagarbhavi,3,1630.0,2.0,1.0,98.0,6012.269938650306,543.3333333333334
Built-up  Area,Ready To Move,rajaji nagar,3,1640.0,3.0,2.0,229.0,13963.414634146342,546.6666666666666
Super built-up  Area,19-Apr,devanahalli,2,1260.0,2.0,2.0,66.78,5300.0,630.0
Super built-up  Area,Ready To Move,whitefield,2,1116.0,2.0,1.0,51.91,4651.433691756272,558.0
